08:15:23.145234 | SRC: 192.168.1.101 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:5E | PROTO: TCP | PORT: 443 | SIZE: 1420 bytes | FLAGS: [PSH,ACK]
08:15:37.891234 | SRC: 192.168.1.104 | DST: 10.0.0.5 | MAC: 00:1A:2B:3C:4D:61 | PROTO: TCP | PORT: 5432 | SIZE: 1876 bytes | FLAGS: [PSH,ACK]
08:15:38.432876 | SRC: 10.0.0.26 | DST: 192.168.1.106 | MAC: A0:B1:C2:D3:E4:F6 | PROTO: UDP | PORT: 123 | SIZE: 48 bytes | FLAGS: [NTP]
08:15:39.123456 | SRC: 192.168.1.103 | DST: 10.0.0.4 | MAC: 00:1A:2B:3C:4D:60 | PROTO: TCP | PORT: 3306 | SIZE: 445 bytes | FLAGS: [PSH,ACK]
08:15:40.567123 | SRC: 192.168.1.105 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:62 | PROTO: TCP | PORT: 443 | SIZE: 89 bytes | FLAGS: [FIN,ACK]
08:15:41.234890 | SRC: 192.168.1.102 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:5F | PROTO: HTTPS | PORT: 443 | SIZE: 2234 bytes | FLAGS: [PSH,ACK]
08:15:42.891567 | SRC: 10.0.0.25 | DST: 192.168.1.107 | MAC: A0:B1:C2:D3:E4:F5 | PROTO: UDP | PORT: 67 | SIZE: 328 bytes | FLAGS: [DHCP_OFFER]
08:15:43.456789 | SRC: 192.168.1.104 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:61 | PROTO: TCP | PORT: 443 | SIZE: 987 bytes | FLAGS: [PSH,ACK]
08:15:44.123890 | SRC: 192.168.1.101 | DST: 10.0.0.6 | MAC: 00:1A:2B:3C:4D:5E | PROTO: TCP | PORT: 9000 | SIZE: 4096 bytes | FLAGS: [PSH,ACK]
08:15:45.789456 | SRC: 10.0.0.26 | DST: 192.168.1.102 | MAC: A0:B1:C2:D3:E4:F6 | PROTO: UDP | PORT: 161 | SIZE: 156 bytes | FLAGS: [SNMP]
08:15:46.345123 | SRC: 192.168.1.103 | DST: 10.0.0.7 | MAC: 00:1A:2B:3C:4D:60 | PROTO: TCP | PORT: 6379 | SIZE: 234 bytes | FLAGS: [PSH,ACK]
08:15:47.912345 | SRC: 192.168.1.105 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:62 | PROTO: TCP | PORT: 443 | SIZE: 1567 bytes | FLAGS: [PSH,ACK]
08:15:48.567234 | SRC: 192.168.1.102 | DST: 10.0.0.8 | MAC: 00:1A:2B:3C:4D:5F | PROTO: TCP | PORT: 5672 | SIZE: 876 bytes | FLAGS: [PSH,ACK]
08:15:49.234678 | SRC: 192.168.1.104 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:61 | PROTO: TCP | PORT: 443 | SIZE: 445 bytes | FLAGS: [PSH,ACK]
08:15:50.891123 | SRC: 10.0.0.25 | DST: 192.168.1.101 | MAC: A0:B1:C2:D3:E4:F5 | PROTO: ICMP | PORT: - | SIZE: 84 bytes | FLAGS: [ECHO_REPLY]
08:15:51.456234 | SRC: 192.168.1.101 | DST: 10.0.0.9 | MAC: 00:1A:2B:3C:4D:5E | PROTO: TCP | PORT: 27017 | SIZE: 2345 bytes | FLAGS: [PSH,ACK]
08:15:52.123567 | SRC: 192.168.1.103 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:60 | PROTO: TCP | PORT: 443 | SIZE: 678 bytes | FLAGS: [PSH,ACK]
